| ID  | Date       |  Day  |   Day Type      |FlightNo |  From  |   To   |Dep.Time| 
|---- |-----       | ----  |---------------  |---------| :----: | :----: |------- |
| f1  | 2019-10-24 |  Thu  | Around Holiday  | 6E2484  |  BLR   |   DEL  | 2330   |
| f2  | 2019-10-24 |  Thu  | Around Holiday  | SG8720  |  BLR   |   DEL  | 2200   |
| f3  | 2019-10-24 |  Thu  | Around Holiday  | G8118   |  BLR   |   DEL  | 2055   |
| f4  | 2019-10-24 |  Thu  | Around Holiday  | AI173   |  BLR   |   DEL  | 2105   |
| f5  | 2019-10-25 |  Fri  | Around Holiday  | 6E2484  |  BLR   |   DEL  | 2330   |
| f6  | 2019-10-25 |  Fri  | Around Holiday  | SG8720  |  BLR   |   DEL  | 2200   |
| f7  | 2019-10-25 |  Fri  | Around Holiday  | G8118   |  BLR   |   DEL  | 2055   |
| f8  | 2019-10-25 |  Fri  | Around Holiday  | AI173   |  BLR   |   DEL  | 2105   |
| f9  | 2019-11-01 |  Fri  | Around Holiday  | 6E2484  |  BLR   |   DEL  | 2330   |
| f10 | 2019-11-01 |  Fri  | Around Holiday  | SG8720  |  BLR   |   DEL  | 2200   |
| f11 | 2019-11-01 |  Fri  | Around Holiday  | G8118   |  BLR   |   DEL  | 2055   |
| f12 | 2019-11-01 |  Fri  | Around Holiday  | AI173   |  BLR   |   DEL  | 2110   |
| f13 | 2019-11-02 |  Sat  | Around Holiday  | 6E2289  |  BLR   |   DEL  | 2220   |
| f14 | 2019-11-02 |  Sat  | Around Holiday  | SG8720  |  BLR   |   DEL  | 2200   |
| f15 | 2019-11-02 |  Sat  | Around Holiday  | G8118   |  BLR   |   DEL  | 2055   |
| f16 | 2019-11-02 |  Sat  | Around Holiday  | AI173   |  BLR   |   DEL  | 2110   |
| f17 | 2019-10-28 |  Mon  | Around Holiday  | 6E2624  |  DEL   |   BLR  | 0200   |
| f18 | 2019-10-28 |  Mon  | Around Holiday  | SG191   |  DEL   |   BLR  | 0620   |
| f19 | 2019-10-28 |  Mon  | Around Holiday  | G8113   |  DEL   |   BLR  | 0550   |
| f20 | 2019-10-28 |  Mon  | Around Holiday  | AI803   |  DEL   |   BLR  | 0610   |
| f21 | 2019-10-29 |  Tue  | Around Holiday  | 6E5031  |  DEL   |   BLR  | 0505   |
